Title,Tempo,SR x .5,SR x 1,SR x 2,Onset SR x 1,60 Window,beat len,DTF1,DTF2
002 Mello - Love Lightside (Love Sickubus),85,172.2656,84.7208,84.7208,112.3471,84.7208,85,42,86
171 - SUPERSONIC,132,129.1992,132.512,132.512,132.512,132.512,130,45,66
171- love,79,80.7495,156.6051,159.0144,156.6051,79.5072,79,40,81
?tella - Adagio,100,99.384,132.512,100.3489,132.512,132.512,131,66,99
A Stranger I Remain - Maniac Agenda Mix,82,83.3543,109.9568,109.9568,109.9568,109.9568,110,55,83
Actor's Anteroom -Remastering-  (??????????) _ MELTY BLOOD Actress Again Current Code OST,88,89.1029,87.5927,87.5927,117.4538,87.5927,85,59,89
Akegata,118,117.4538,117.4538,117.4538,117.4538,117.4538,117,59,117
Arcade- Live,114,112.3471,114.8438,114.8438,114.8438,114.8438,111,57,112
As much as possible,100,99.384,99.384,99.384,99.384,99.384,98,50,99
BABYMETAL - Gimme Chocolate!!,110,112.3471,109.9568,109.9568,109.9568,109.9568,110,55,108
BABYMETAL - Road of Resistance,103,103.3594,103.3594,102.336,135.9992,103.3594,102,52,103
BBCF - MUST DIE,170,86.1328,84.7208,169.4416,112.3471,84.7208,84,42,86
BIBI - Apocalypse,101,99.384,101.3327,101.3327,101.3327,101.3327,99,51,99
BIBI - Derre,125,123.0469,126.048,124.5294,126.048,126.048,110,63,123
Baby Smoove - I Dare U,146,143.5547,72.7883,96.5975,143.5547,72.7883,72,49,72
BabyTron - 007,101,103.3594,101.3327,101.3327,101.3327,101.3327,100,51,99
Base 11,149,151.9991,99.384,120.1853,120.1853,99.384,101,50,99
Beat Eat Nest (Byakuya Theme),89,89.1029,89.1029,89.1029,117.4538,89.1029,89,45,89
Beat Eat Nest II (Byakuya theme) - UNI2 - Guitar Cover,178,89.1029,89.1029,89.1029,117.4538,89.1029,88,45,89
Beat Eat Nest(Byakuya's Theme) Bossa Nova Cover,95,95.7031,95.7031,94.8251,126.048,126.048,127,48,96
Billie Eilish - BIRDS OF A FEATHER,105,103.3594,105.4688,139.6748,105.4688,105.4688,104,53,103
Blood Drain -Again- (Eltnum Theme),0,95.7031,95.7031,94.8251,126.048,95.7031,85,48,96
Brahman,73,143.5547,97.5088,72.7883,97.5088,97.5088,95,49,74
Bullet Dance II,150,75.9995,151.9991,149.7962,120.1853,151.9991,150,50,76
Can't Smash My Invincible Armor!,82,161.499,161.499,108.7993,107.666,161.499,152,54,81
Celestial Resort - Good Karma Mix,70,143.5547,139.6748,139.6748,139.6748,139.6748,139,47,92
Che - CUT OFF YOUR HANDS,147,143.5547,147.6562,117.4538,147.6562,147.6562,146,49,74
Che - ROLLING STONE,83,107.666,107.666,130.8347,107.666,107.666,102,54,108
Che - bluberry bakwood,149,151.9991,99.384,99.384,99.384,99.384,90,50,74
