Title,Tempo,SR x .5,SR x 1,SR x 2,Onset SR x 1,60 Window,beat len,DTF1,DTF2
,71,143.5547,143.5547,143.5547,143.55469,,,48,72
,71,143.5547,95.7031,143.5547,143.55469,,,48,96
,72,143.5547,95.7031,143.5547,143.55469,,,48,72
,72,143.5547,95.7031,114.8438,114.84375,,,48,96
,73,143.5547,97.5088,72.7883,97.50884,,,49,74
,73,143.5547,97.5088,72.7883,143.55469,,,49,74
,74,73.8281,147.6562,98.4375,147.65625,,,50,74
,74,73.8281,147.6562,147.6562,147.65625,,,74,144
,74,73.8281,147.6562,147.6562,147.65625,,,74,74
,74,73.8281,74.8981,149.7962,147.65625,,,37,74
,74,73.8281,74.8981,149.7962,147.65625,,,50,74
,75,151.9991,151.9991,149.7962,147.65625,,,50,76
,75,151.9991,74.8981,149.7962,120.18532,,,50,76
,75,148.0263,100.4464,119.6809,100.44643,,,50,76
,75,151.9991,151.9991,149.7962,147.65625,,,50,76
,75,151.9991,74.8981,149.7962,120.18532,,,50,76
,75,148.0263,100.4464,119.6809,100.44643,,,50,76
,76,151.9991,151.9991,100.3489,151.99908,,,51,76
,77,78.3026,77.1339,77.7138,103.35938,,,52,78
,77,151.9991,77.1339,154.2677,151.99908,,,39,78
,77,151.9991,156.6051,77.7138,103.35938,,,52,78
,77,151.9991,151.9991,123.0469,151.99908,,,51,76
,78,78.3026,156.6051,156.6051,156.60511,,,53,78
,78,78.3026,156.6051,156.6051,156.60511,,,52,78
,78,78.3026,156.6051,156.6051,156.60511,,,53,78
,79,161.499,105.4688,126.048,105.46875,,,53,78
,79,78.3026,156.6051,156.6051,156.60511,,,39,78
,80,80.7495,161.499,127.6042,161.49902,,,40,81
,80,80.7495,161.499,106.5561,120.18532,,,54,81
,80,161.499,161.499,79.5072,105.46875,,,53,81
,80,80.7495,156.6051,106.5561,156.60511,,,40,81
,80,80.7495,107.666,106.5561,107.66602,,,54,81
,80,161.499,161.499,106.5561,161.49902,,,40,81
,81,80.7495,82.0312,164.0625,161.49902,,,41,81
,81,161.499,107.666,80.7495,107.66602,,,54,81
,81,161.499,107.666,129.1992,107.66602,,,54,81
,82,83.3543,109.9568,109.9568,109.95678,,,55,83
,82,161.499,161.499,108.7993,107.66602,,,54,81
,82,83.3543,109.9568,109.9568,109.95678,,,55,83
,82,161.499,109.9568,82.0312,109.95678,,,55,83
,82,161.499,161.499,130.8347,109.95678,,,55,83
,82,161.499,109.9568,109.9568,109.95678,,,55,83
,82,80.7495,82.0312,164.0625,109.95678,,,41,83
,82,83.3543,109.9568,109.9568,109.95678,,,55,83
,83,107.666,107.666,130.8347,107.66602,,,54,108
,83,83.3543,166.7087,166.7087,109.95678,,,55,83
,83,107.666,107.666,130.8347,107.66602,,,54,108
,85,172.2656,84.7208,84.7208,112.34715,,,42,86
,85,86.1328,172.2656,84.7208,112.34715,,,56,86
,85,172.2656,114.8438,85.421,114.84375,,,57,86
,85,86.1328,112.3471,135.9992,112.34715,,,56,86
,85,86.1328,84.7208,169.4416,112.34715,,,56,86
,85,86.1328,172.2656,135.9992,112.34715,,,56,86
,85,172.2656,84.7208,169.4416,112.34715,,,56,86
,85,86.1328,84.7208,113.5817,112.34715,,,42,86
,85,86.1328,84.7208,113.5817,112.34715,,,42,86
,86,86.1328,86.1328,172.2656,86.13281,,,43,86
,87,89.1029,87.5927,87.5927,117.45384,,,59,89
,87,86.1328,87.5927,175.1854,117.45384,,,44,89
,87,172.2656,117.4538,139.6748,117.45384,,,59,89
,87,86.1328,87.5927,175.1854,117.45384,,,44,86
,87,86.1328,172.2656,116.1341,172.26562,,,44,86
,87,172.2656,87.5927,175.1854,117.45384,,,44,86
,87,89.1029,87.5927,87.5927,117.45384,,,59,89
,88,89.1029,87.5927,88.3413,117.45384,,,44,89
,88,89.1029,117.4538,141.5882,117.45384,,,59,89
,88,89.1029,87.5927,175.1854,117.45384,,,59,89
,89,89.1029,89.1029,89.1029,117.45384,,,45,89
,89,89.1029,89.1029,118.8039,120.18532,,,45,89
,89,89.1029,178.2058,89.1029,117.45384,,,45,89
,90,89.1029,90.6661,181.3322,90.66612,,,45,89
,90,107.666,105.4688,141.5882,105.46875,,,53,108
,90,89.1029,120.1853,102.336,120.18532,,,60,89
,90,89.1029,120.1853,89.8777,120.18532,,,45,89
,0,143.5547,139.6748,139.6748,139.6748,139.6748,139,47,70
