Tempo,SR x .5,SR x 1,SR x 2,Onset SR x 1,60 Window,beat len,DTF1,DTF2
65,99.384,129.1992,130.8347,129.1992,129.1992,123,49,99
69,103.3594,105.4688,139.6748,105.4688,105.4688,104,53,103
70,143.5547,139.6748,139.6748,139.6748,139.6748,95,47,92
71,143.5547,143.5547,143.5547,143.5547,143.5547,144,48,72
72,143.5547,95.7031,114.8438,114.8438,95.7031,96,48,72
73,143.5547,97.5088,72.7883,97.5088,97.5088,89,49,74
74,73.8281,147.6562,147.6562,147.6562,147.6562,142,50,74
75,151.9991,74.8981,149.7962,100.4464,99.384,101,50,76
76,151.9991,151.9991,100.3489,151.9991,151.9991,141,51,76
77,151.9991,77.1339,77.7138,103.3594,151.9991,127,52,78
78,78.3026,156.6051,156.6051,156.6051,156.6051,125,53,78
79,78.3026,156.6051,126.048,156.6051,79.5072,79,39,78
80,80.7495,161.499,106.5561,161.499,161.499,101,40,81
81,161.499,107.666,80.7495,107.666,107.666,108,54,81
82,161.499,109.9568,109.9568,109.9568,109.9568,80,55,83
83,83.3543,107.666,130.8347,107.666,107.666,100,55,83
85,86.1328,84.7208,84.7208,112.3471,84.7208,85,56,86
86,86.1328,86.1328,172.2656,86.1328,86.1328,84,43,86
87,86.1328,87.5927,175.1854,117.4538,87.5927,77,44,89
88,89.1029,87.5927,87.5927,117.4538,87.5927,87,59,89
89,89.1029,89.1029,89.1029,117.4538,89.1029,87,45,89
90,89.1029,120.1853,89.8777,120.1853,120.1853,120,45,89
91,92.2852,123.0469,123.0469,123.0469,123.0469,122,62,92
93,92.2852,123.0469,92.2852,123.0469,123.0469,81,46,92
94,95.7031,93.9631,93.9631,93.9631,93.9631,92,47,96
95,95.7031,95.7031,94.8251,126.048,95.7031,85,48,96
96,95.7031,95.7031,95.7031,95.7031,95.7031,80,48,96
97,95.7031,97.5088,97.5088,97.5088,97.5088,92,49,96
100,99.384,99.384,100.3489,99.384,99.384,99,50,99
101,99.384,101.3327,101.3327,101.3327,101.3327,100,51,99
102,103.3594,101.3327,102.336,101.3327,101.3327,100,51,99
103,103.3594,103.3594,102.336,135.9992,103.3594,100,52,103
104,103.3594,103.3594,104.4034,103.3594,103.3594,103,52,103
105,103.3594,105.4688,105.4688,105.4688,105.4688,104,53,103
106,89.1029,120.1853,89.8777,120.1853,120.1853,117,60,89
107,71.7773,143.5547,108.7993,107.666,143.5547,139,54,72
108,107.666,107.666,108.7993,107.666,107.666,106,54,108
109,107.666,105.4688,107.666,105.4688,105.4688,79,55,108
110,112.3471,109.9568,109.9568,109.9568,109.9568,106,55,74
113,112.5,112.5,112.5,112.5,112.5,102,56,112
114,112.3471,114.8438,114.8438,114.8438,114.8438,111,57,112
115,112.3471,114.8438,114.8438,114.8438,114.8438,49,57,76
116,117.4538,114.8438,116.1341,114.8438,114.8438,115,57,117
118,117.4538,117.4538,117.4538,117.4538,117.4538,117,59,117
119,117.4538,120.1853,118.8039,120.1853,120.1853,99,60,117
120,117.4538,120.1853,120.1853,120.1853,120.1853,90,60,117
122,123.0469,123.0469,121.5993,123.0469,123.0469,120,62,123
123,123.0469,123.0469,123.0469,123.0469,123.0469,122,62,123
124,123.0469,123.0469,123.0469,123.0469,123.0469,119,62,123
125,123.0469,126.048,124.5294,126.048,126.048,87,63,123
126,123.0469,126.048,126.048,126.048,126.048,107,63,123
128,129.1992,129.1992,127.6042,129.1992,129.1992,128,65,129
129,129.1992,86.1328,129.1992,129.1992,86.1328,89,43,86
130,129.1992,129.1992,129.1992,129.1992,129.1992,129,65,129
132,129.1992,132.512,132.512,132.512,132.512,130,44,66
133,66.256,132.512,130.8347,132.512,132.512,132,66,89
134,135.9992,132.512,134.233,132.512,132.512,111,45,66
135,135.9992,135.9992,134.233,135.9992,135.9992,135,68,136
138,135.9992,139.6748,137.8125,139.6748,139.6748,68,46,68
140,143.5547,139.6748,139.6748,139.6748,139.6748,138,47,70
141,143.5547,95.7031,143.5547,143.5547,95.7031,94,48,96
142,143.5547,143.5547,141.5882,143.5547,143.5547,71,35,72
143,143.5547,143.5547,143.5547,143.5547,143.5547,143,48,72
144,143.5547,143.5547,143.5547,143.5547,143.5547,142,48,72
145,143.5547,143.5547,116.1341,143.5547,143.5547,142,49,72
146,143.5547,72.7883,96.5975,97.5088,72.7883,72,49,72
147,143.5547,147.6562,117.4538,147.6562,147.6562,146,49,74
148,151.9991,147.6562,147.6562,147.6562,147.6562,142,50,74
149,151.9991,99.384,99.384,147.6562,99.384,87,50,74
150,151.9991,99.384,120.1853,99.384,99.384,86,50,76
152,151.9991,151.9991,151.9991,101.3327,151.9991,141,51,76
153,151.9991,151.9991,76.5625,151.9991,151.9991,128,51,76
155,151.9991,103.3594,103.3594,103.3594,103.3594,100,52,78
159,161.499,105.4688,127.6042,105.4688,105.4688,102,53,81
160,80.7495,161.499,127.6042,107.666,161.499,159,54,81
161,80.7495,161.499,161.499,107.666,161.499,159,54,81
165,161.499,109.9568,109.9568,109.9568,109.9568,106,55,83
167,85.2273,83.9552,167.9104,112.5,83.9552,67,56,85
170,86.1328,84.7208,169.4416,112.3471,84.7208,83,42,86
171,172.2656,117.4538,139.6748,117.4538,117.4538,113,59,89
175,86.1328,87.5927,175.1854,117.4538,87.5927,87,44,86
176,89.1029,87.5927,175.1854,117.4538,87.5927,87,59,89
178,89.1029,89.1029,89.1029,117.4538,89.1029,71,45,89
179,89.1029,89.1029,118.8039,120.1853,120.1853,113,45,89
180,89.1029,120.1853,120.1853,120.1853,120.1853,118,60,89
